Quarter,NVIDIA_Shipments,AMD_Shipments,Total_Shipments
2017 Q1,8.1,3.2,11.3
2017 Q2,8.9,3.8,12.7
2017 Q3,10.2,4.1,14.299999999999999
2017 Q4,9.5,3.9,13.4
2018 Q1,8.8,3.5,12.3
2018 Q2,7.6,2.9,10.5
2018 Q3,6.2,2.1,8.3
2018 Q4,5.1,1.8,6.8999999999999995
2019 Q1,5.5,2.0,7.5
2019 Q2,6.2,2.3,8.5
2019 Q3,7.1,2.8,9.899999999999999
2019 Q4,7.5,2.7,10.2
2020 Q1,6.8,2.4,9.2
2020 Q2,7.2,2.3,9.5
2020 Q3,8.5,2.9,11.4
2020 Q4,9.1,3.1,12.2
2021 Q1,9.5,3.2,12.7
2021 Q2,9.8,2.9,12.700000000000001
2021 Q3,10.1,2.6,12.7
2021 Q4,10.5,2.4,12.9
2022 Q1,9.2,2.1,11.299999999999999
2022 Q2,7.8,1.6,9.4
2022 Q3,5.5,1.2,6.7
2022 Q4,5.2,0.9,6.1000000000000005
2023 Q1,5.4,0.8,6.2
2023 Q2,5.8,1.1,6.9
2023 Q3,6.5,1.3,7.8
2023 Q4,7.2,1.5,8.7
2024 Q1,7.5,1.6,9.1
2024 Q2,7.8,1.5,9.3
2024 Q3,8.2,1.4,9.6
2024 Q4,8.6,1.5,10.1
2025 Q1,8.9,1.6,10.5
2025 Q2,9.2,1.7,10.899999999999999
2025 Q3,9.5,1.6,11.1
2025 Q4,9.8,1.7,11.5
