date,category,product,price,currency,source_url
2021-09-03,vga_avg,GeForce RTX 3060,759.57,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-04,vga_avg,GeForce RTX 3060,766.48,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-05,vga_avg,GeForce RTX 3060,759.30,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-06,vga_avg,GeForce RTX 3060,784.16,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-07,vga_avg,GeForce RTX 3060,784.56,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-08,vga_avg,GeForce RTX 3060,800.04,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-09,vga_avg,GeForce RTX 3060,786.66,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-10,vga_avg,GeForce RTX 3060,776.48,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-11,vga_avg,GeForce RTX 3060,776.19,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-12,vga_avg,GeForce RTX 3060,769.90,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-13,vga_avg,GeForce RTX 3060,769.90,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-14,vga_avg,GeForce RTX 3060,759.95,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-15,vga_avg,GeForce RTX 3060,744.52,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-16,vga_avg,GeForce RTX 3060,745.52,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-17,vga_avg,GeForce RTX 3060,728.50,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-18,vga_avg,GeForce RTX 3060,739.33,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-19,vga_avg,GeForce RTX 3060,701.83,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-20,vga_avg,GeForce RTX 3060,701.45,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-21,vga_avg,GeForce RTX 3060,705.90,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-22,vga_avg,GeForce RTX 3060,746.90,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-23,vga_avg,GeForce RTX 3060,730.10,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-24,vga_avg,GeForce RTX 3060,734.42,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-25,vga_avg,GeForce RTX 3060,728.71,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-09-26,vga_avg,GeForce RTX 3060,722.45,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
