ticker,company_name,market,revenue_period,period_type,revenue,currency,source
2357.TW,華碩,TW,2017-01,monthly,31349355000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-01,monthly,4290828000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-01,monthly,8461830000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2017-02,monthly,31818440000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-02,monthly,4727475000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-02,monthly,7301880000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2017-03,monthly,45060017000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-03,monthly,4307229000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-03,monthly,8786173000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2017-04,monthly,27112850000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-04,monthly,3946498000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-04,monthly,6443101000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2017-04-01,quarterly,1178000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
NVDA,輝達,US,2017-04-30,quarterly,1937000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2017-05,monthly,31344110000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-05,monthly,4483313000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-05,monthly,6910854000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2017-06,monthly,38870216000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-06,monthly,5541432000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-06,monthly,9900400000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2017-07,monthly,31561534000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-07,monthly,5852465000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-07,monthly,9373696000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2017-07-01,quarterly,1151000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
NVDA,輝達,US,2017-07-30,quarterly,2230000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2017-08,monthly,37809726000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-08,monthly,5505470000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-08,monthly,9191125000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2017-09,monthly,45108953000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-09,monthly,5699915000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-09,monthly,10528450000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2017-09-30,quarterly,1584000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2017-10,monthly,34659511000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-10,monthly,4425334000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-10,monthly,9667012000.0,TWD,https://api.finmindtrade.com/api/v4/data
NVDA,輝達,US,2017-10-29,quarterly,2636000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2017-11,monthly,42127724000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-11,monthly,5542848000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-11,monthly,10425534000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2017-12,monthly,36639377000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2017-12,monthly,5559752000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2017-12,monthly,9429400000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2017-12-30,quarterly,1340000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2018-01,monthly,31287306000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-01,monthly,7144660000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-01,monthly,10830591000.0,TWD,https://api.finmindtrade.com/api/v4/data
NVDA,輝達,US,2018-01-28,quarterly,2911000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2018-02,monthly,26954715000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-02,monthly,4533556000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-02,monthly,9222929000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2018-03,monthly,40751499000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-03,monthly,8498556000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-03,monthly,11728674000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2018-03-31,quarterly,1647000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2018-04,monthly,22897213000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-04,monthly,4999243000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-04,monthly,9943951000.0,TWD,https://api.finmindtrade.com/api/v4/data
NVDA,輝達,US,2018-04-29,quarterly,3207000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2018-05,monthly,29004546000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-05,monthly,5354401000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-05,monthly,9822644000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2018-06,monthly,38535063000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-06,monthly,3819904000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-06,monthly,8529808000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2018-06-30,quarterly,1756000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2018-07,monthly,28789526000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-07,monthly,4625846000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-07,monthly,9234458000.0,TWD,https://api.finmindtrade.com/api/v4/data
NVDA,輝達,US,2018-07-29,quarterly,3123000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2018-08,monthly,33688131000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-08,monthly,4481252000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-08,monthly,8914265000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2018-09,monthly,40205040000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-09,monthly,4517819000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-09,monthly,10548373000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2018-09-29,quarterly,1653000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2018-10,monthly,31094507000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-10,monthly,5007557000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-10,monthly,11788451000.0,TWD,https://api.finmindtrade.com/api/v4/data
NVDA,輝達,US,2018-10-28,quarterly,3181000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2018-11,monthly,34716766000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-11,monthly,4750023000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-11,monthly,10528779000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2018-12,monthly,33634864000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2018-12,monthly,3206046000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2018-12,monthly,7447152000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2018-12-29,quarterly,1419000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2019-01,monthly,26162960000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-01,monthly,5362092000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-01,monthly,10833587000.0,TWD,https://api.finmindtrade.com/api/v4/data
NVDA,輝達,US,2019-01-27,quarterly,2205000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2019-02,monthly,21533981000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-02,monthly,3815556000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-02,monthly,8246480000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2019-03,monthly,38172856000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-03,monthly,6853503000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-03,monthly,10407854000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2019-03-30,quarterly,1272000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2019-04,monthly,19995426000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-04,monthly,4386381000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-04,monthly,8539331000.0,TWD,https://api.finmindtrade.com/api/v4/data
NVDA,輝達,US,2019-04-28,quarterly,2220000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2019-05,monthly,23382991000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-05,monthly,4231955000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-05,monthly,9037738000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2019-06,monthly,30795457000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-06,monthly,3689929000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-06,monthly,8567063000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2019-06-29,quarterly,1531000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2019-07,monthly,25528608000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-07,monthly,5856401000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-07,monthly,9759289000.0,TWD,https://api.finmindtrade.com/api/v4/data
NVDA,輝達,US,2019-07-28,quarterly,2579000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2019-08,monthly,30642655000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-08,monthly,6147281000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-08,monthly,11333820000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2019-09,monthly,37778235000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-09,monthly,5664159000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-09,monthly,11720989000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2019-09-28,quarterly,1801000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2019-10,monthly,29928417000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-10,monthly,5780294000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-10,monthly,11810866000.0,TWD,https://api.finmindtrade.com/api/v4/data
NVDA,輝達,US,2019-10-27,quarterly,3014000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2019-11,monthly,34605083000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-11,monthly,5273809000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-11,monthly,11143632000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2019-12,monthly,32741563000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2019-12,monthly,4753802000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2019-12,monthly,9090257000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2019-12-28,quarterly,2127000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2020-01,monthly,23201678000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-01,monthly,6254698000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-01,monthly,10065900000.0,TWD,https://api.finmindtrade.com/api/v4/data
NVDA,輝達,US,2020-01-26,quarterly,3105000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
2357.TW,華碩,TW,2020-02,monthly,21284856000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-02,monthly,4668398000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-02,monthly,8129812000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2020-03,monthly,26361024000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-03,monthly,6310689000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-03,monthly,10307830000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2020-03-28,quarterly,1786000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2020-04,monthly,22735388000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-04,monthly,6165821000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-04,monthly,10608256000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2020-05,monthly,30170871000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-05,monthly,7633696000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-05,monthly,10949799000.0,TWD,https://api.finmindtrade.com/api/v4/data
2357.TW,華碩,TW,2020-06,monthly,39367941000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-06,monthly,7109860000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-06,monthly,13779635000.0,TWD,https://api.finmindtrade.com/api/v4/data
AMD,AMD,US,2020-06-27,quarterly,1932000000.0,USD,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
2357.TW,華碩,TW,2020-07,monthly,37141186000.0,TWD,https://api.finmindtrade.com/api/v4/data
2376.TW,技嘉,TW,2020-07,monthly,8099005000.0,TWD,https://api.finmindtrade.com/api/v4/data
2377.TW,微星,TW,2020-07,monthly,13840272000.0,TWD,https://api.finmindtrade.com/api/v4/data
